yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:18:03.943785,-1.434, 0.282,-1.022
2021-09-12 09:18:04.044000,-1.434, 0.267,-1.030
2021-09-12 09:18:04.144207,-1.656, 0.076,-0.847
2021-09-12 09:18:04.244420,-1.465, 0.175,-1.007
2021-09-12 09:18:04.344626,-1.579, 0.404,-1.038
2021-09-12 09:18:04.444835,-1.358, 0.313,-0.984
2021-09-12 09:18:04.545038,-1.373, 0.511,-1.083
2021-09-12 09:18:04.645235,-1.328, 0.191,-1.228
2021-09-12 09:18:04.745428,-1.266, 0.305,-0.763
2021-09-12 09:18:04.845628,-1.564, 0.427,-1.167
2021-09-12 09:18:04.945823,-1.312, 0.443,-0.801
2021-09-12 09:18:05.046034,-1.457, 0.305,-1.190
2021-09-12 09:18:05.146240,-1.282, 0.343,-0.961
2021-09-12 09:18:05.246440,-1.518, 0.267,-1.114
2021-09-12 09:18:05.346646,-1.427, 0.107,-1.083
2021-09-12 09:18:05.446854,-1.480, 0.137,-1.160
2021-09-12 09:18:05.547049,-1.266, 0.343,-0.931
2021-09-12 09:18:05.647258,-1.183, 0.061,-0.839
2021-09-12 09:18:05.747435,-1.266, 0.267,-0.893
2021-09-12 09:18:05.847643,-1.518, 0.244,-0.885
2021-09-12 09:18:05.947841,-1.404, 0.198,-1.007
2021-09-12 09:18:06.048053,-1.404, 0.107,-1.099
2021-09-12 09:18:06.148267,-1.335, 0.366,-1.053
2021-09-12 09:18:06.248481,-1.419, 0.305,-0.931
2021-09-12 09:18:06.348695,-1.366, 0.412,-0.839
2021-09-12 09:18:06.448910,-1.038, 0.320,-0.877
2021-09-12 09:18:06.549112,-1.549, 0.298,-0.839
2021-09-12 09:18:06.649313,-1.282, 0.183,-0.801
2021-09-12 09:18:06.749507,-1.350, 0.343,-0.771
2021-09-12 09:18:06.849746,-1.450, 0.320,-1.053
2021-09-12 09:18:06.949967,-1.419, 0.137,-0.793
2021-09-12 09:18:07.050180,-1.480, 0.481,-0.984
2021-09-12 09:18:07.150385,-1.198, 0.336,-0.908
2021-09-12 09:18:07.250599,-1.373, 0.237,-0.946
2021-09-12 09:18:07.350823,-1.282, 0.221,-0.954
2021-09-12 09:18:07.451042,-1.472, 0.145,-0.977
2021-09-12 09:18:07.551242,-1.495, 0.153,-0.854
2021-09-12 09:18:07.651450,-1.411, 0.275,-0.839
2021-09-12 09:18:07.751652,-1.381, 0.237,-0.778
2021-09-12 09:18:07.851851,-1.350, 0.290,-1.060
2021-09-12 09:18:07.952023,-1.411, 0.023,-0.908
2021-09-12 09:18:08.052240,-1.564, 0.153,-0.931
2021-09-12 09:18:08.152456,-1.328, 1.877,-1.144
2021-09-12 09:18:08.252636,-1.396, 0.450,-1.022
2021-09-12 09:18:08.352843,-1.495, 1.938,-0.938
2021-09-12 09:18:08.453048,-1.198, 0.198,-1.236
2021-09-12 09:18:08.553242,-1.389, 0.107,-1.007
2021-09-12 09:18:08.653445,-1.389, 0.076,-0.992
2021-09-12 09:18:08.753646,-1.404,-0.061,-1.343
2021-09-12 09:18:08.853881,-1.343, 0.351,-1.297
2021-09-12 09:18:08.954102,-1.457, 0.145,-0.984
2021-09-12 09:18:09.054315,-1.266, 0.252,-0.755
2021-09-12 09:18:09.154524,-1.389, 0.366,-0.832
2021-09-12 09:18:09.254734,-1.381, 0.771,-1.076
2021-09-12 09:18:09.354939,-1.411, 0.114,-0.702
2021-09-12 09:18:09.455143,-1.358, 0.305,-1.099
2021-09-12 09:18:09.555337,-1.503, 0.206,-1.030
2021-09-12 09:18:09.655535,-1.633, 0.336,-0.816
2021-09-12 09:18:09.755727,-1.480, 0.099,-0.893
2021-09-12 09:18:09.855951,-1.152, 0.343,-0.923
2021-09-12 09:18:09.956157,-1.358, 0.519,-0.702
2021-09-12 09:18:10.056370,-1.427, 0.099,-1.221
2021-09-12 09:18:10.156574,-1.266, 0.420,-0.771
2021-09-12 09:18:10.256786,-1.205, 0.397,-0.473
2021-09-12 09:18:10.356958,-1.266, 0.351,-0.969
2021-09-12 09:18:10.457100,-1.297, 0.092,-0.816
2021-09-12 09:18:10.557236,-1.358, 0.145,-0.862
2021-09-12 09:18:10.657370,-1.465, 0.214,-1.259
2021-09-12 09:18:10.757508,-1.450, 0.214,-1.007
2021-09-12 09:18:10.857648,-1.350, 0.221,-1.030
2021-09-12 09:18:10.957844,-1.312, 0.031,-1.045
2021-09-12 09:18:11.058022,-1.160, 0.458,-0.984
2021-09-12 09:18:11.158213,-1.572, 0.275,-1.251
2021-09-12 09:18:11.258395,-1.205, 0.267,-1.038
2021-09-12 09:18:11.358574,-1.648, 0.145,-1.183
2021-09-12 09:18:11.458751,-1.404, 0.137,-0.992
2021-09-12 09:18:11.558929,-1.587, 0.305,-0.717
2021-09-12 09:18:11.659138,-1.518, 0.198,-0.694
2021-09-12 09:18:11.759338,-1.579, 0.214,-0.999
2021-09-12 09:18:11.859543,-1.465, 0.137,-1.030
2021-09-12 09:18:11.959787,-1.549, 0.229,-0.633
2021-09-12 09:18:12.060011,-1.556,-1.770,-0.908
2021-09-12 09:18:12.160226,-1.335, 0.381,-1.038
2021-09-12 09:18:12.260446,-1.328, 0.198,-1.022
2021-09-12 09:18:12.360661,-1.129, 0.259,-0.801
2021-09-12 09:18:12.460864,-1.518, 0.320,-1.022
2021-09-12 09:18:12.561065,-1.495, 0.397,-0.916
2021-09-12 09:18:12.661264,-1.076, 0.328,-1.045
2021-09-12 09:18:12.761468,-1.282, 0.160,-0.778
2021-09-12 09:18:12.861674,-1.266, 0.130,-1.099
2021-09-12 09:18:12.961878,-1.312, 0.298,-0.900
2021-09-12 09:18:13.062131,-1.617, 0.496,-0.946
2021-09-12 09:18:13.162351,-1.472,-0.076,-1.091
2021-09-12 09:18:13.262569,-1.381, 0.229,-1.076
2021-09-12 09:18:13.362792,-1.297, 0.229,-0.816
2021-09-12 09:18:13.463008,-1.381, 0.336,-0.938
2021-09-12 09:18:13.563214,-1.274, 0.328,-1.068
2021-09-12 09:18:13.663424,-1.511, 0.168,-0.900
2021-09-12 09:18:13.763626,-1.434, 0.145,-1.076
2021-09-12 09:18:13.863863,-1.373, 0.275,-0.748
2021-09-12 09:18:13.964092,-1.282, 0.206,-0.832
2021-09-12 09:18:14.064309,-1.442, 0.290,-0.702
2021-09-12 09:18:14.164516,-1.617, 0.214,-0.946
2021-09-12 09:18:14.264726,-1.472, 0.290,-0.908
2021-09-12 09:18:14.364927,-1.549, 0.259,-0.885
2021-09-12 09:18:14.465124,-1.297, 0.587,-0.755
2021-09-12 09:18:14.565303,-1.724, 0.374,-1.022
2021-09-12 09:18:14.665486,-1.358, 0.221,-0.854
2021-09-12 09:18:14.765664,-1.320, 0.122,-0.984
2021-09-12 09:18:14.865841,-1.274, 0.610,-0.755
2021-09-12 09:18:14.966009,-1.244, 0.397,-0.801
2021-09-12 09:18:15.066191,-1.442, 0.351,-0.748
2021-09-12 09:18:15.166370,-1.396, 1.945,-0.870
2021-09-12 09:18:15.266552,-1.434, 0.290,-0.999
2021-09-12 09:18:15.366726,-1.427, 0.076,-0.893
2021-09-12 09:18:15.466900,-1.465, 0.351,-0.893
2021-09-12 09:18:15.567068,-1.411, 0.206,-0.832
2021-09-12 09:18:15.667239,-1.587, 0.046,-0.854
2021-09-12 09:18:15.767415,-1.228, 0.381,-1.251
2021-09-12 09:18:15.867629,-1.434, 0.282,-0.923
2021-09-12 09:18:15.967833,-1.297, 0.496,-1.045
2021-09-12 09:18:16.068054,-1.320, 0.267,-1.251
2021-09-12 09:18:16.168265,-1.503, 0.061,-1.076
2021-09-12 09:18:16.268469,-1.526, 0.343,-1.007
2021-09-12 09:18:16.368677,-1.450, 0.206,-0.923
2021-09-12 09:18:16.468891,-1.320,-0.221,-0.595
2021-09-12 09:18:16.569097,-1.511, 0.351,-0.938
2021-09-12 09:18:16.669301,-1.236, 0.366,-1.038
2021-09-12 09:18:16.769496,-1.366, 0.221,-0.877
2021-09-12 09:18:16.869735,-1.503,-0.061,-0.938
2021-09-12 09:18:16.969958,-1.312, 0.221,-0.870
2021-09-12 09:18:17.070178,-1.564, 0.450,-0.969
2021-09-12 09:18:17.170383,-1.534, 0.099,-0.847
2021-09-12 09:18:17.270601,-1.274, 0.542,-1.282
2021-09-12 09:18:17.370810,-1.396, 0.244,-0.908
2021-09-12 09:18:17.471013,-1.144, 0.305,-0.984
2021-09-12 09:18:17.571339,-1.572, 0.145,-0.702
2021-09-12 09:18:17.671600,-1.396, 0.328,-1.076
2021-09-12 09:18:17.771821,-1.480, 0.198,-0.946
2021-09-12 09:18:17.872000,-1.625, 0.336,-0.923
2021-09-12 09:18:17.972209,-1.587, 0.244,-0.763
2021-09-12 09:18:18.072432,-1.587, 0.198,-0.893
2021-09-12 09:18:18.172608,-1.503, 0.404,-1.244
2021-09-12 09:18:18.272778,-1.289, 0.191,-0.618
2021-09-12 09:18:18.372943,-1.312, 0.183,-0.900
2021-09-12 09:18:18.473106,-1.503, 0.099,-0.977
2021-09-12 09:18:18.573303,-1.335, 0.153,-1.015
