yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:48.702174, 0.004, 0.093, 1.004
2021-09-14 06:08:48.802359, 0.009, 0.079, 0.999
2021-09-14 06:08:48.902572, 0.003, 0.063, 0.998
2021-09-14 06:08:49.002878, 0.006, 0.081, 0.988
2021-09-14 06:08:49.103086, 0.002, 0.080, 1.000
2021-09-14 06:08:49.203297, 0.009, 0.083, 0.987
2021-09-14 06:08:49.303457, 0.002, 0.082, 0.996
2021-09-14 06:08:49.403638, 0.008, 0.079, 0.998
2021-09-14 06:08:49.503802, 0.007, 0.078, 1.000
2021-09-14 06:08:49.603965, 0.004, 0.072, 1.000
2021-09-14 06:08:49.704130, 0.009, 0.075, 0.999
2021-09-14 06:08:49.804308, 0.007, 0.081, 1.002
2021-09-14 06:08:49.904488, 0.005, 0.076, 1.015
2021-09-14 06:08:50.004939, 0.004, 0.080, 0.999
2021-09-14 06:08:50.105172, 0.007, 0.078, 0.998
2021-09-14 06:08:50.205366, 0.010, 0.081, 1.000
2021-09-14 06:08:50.305577, 0.007, 0.065, 1.003
2021-09-14 06:08:50.405765, 0.012, 0.078, 0.997
2021-09-14 06:08:50.505934, 0.006, 0.084, 1.003
2021-09-14 06:08:50.606102, 0.009, 0.079, 1.005
2021-09-14 06:08:50.706274, 0.003, 0.083, 0.997
2021-09-14 06:08:50.806445, 0.006, 0.077, 0.998
2021-09-14 06:08:50.906637, 0.005, 0.081, 0.995
2021-09-14 06:08:51.006857,-0.016, 0.063, 0.992
2021-09-14 06:08:51.107079, 0.003, 0.077, 0.997
2021-09-14 06:08:51.207290, 0.003, 0.082, 0.999
2021-09-14 06:08:51.307605, 0.008, 0.076, 0.997
2021-09-14 06:08:51.407816, 0.006, 0.092, 0.995
2021-09-14 06:08:51.508061, 0.004, 0.077, 0.996
2021-09-14 06:08:51.608286, 0.009, 0.078, 0.994
2021-09-14 06:08:51.708515, 0.007, 0.081, 0.999
2021-09-14 06:08:51.808737, 0.006, 0.081, 0.996
2021-09-14 06:08:51.908956, 0.008, 0.080, 1.015
2021-09-14 06:08:52.009188,-0.000, 0.078, 1.005
2021-09-14 06:08:52.109411, 0.006, 0.076, 1.012
2021-09-14 06:08:52.209627, 0.006, 0.077, 1.001
2021-09-14 06:08:52.309849, 0.004, 0.063, 1.013
2021-09-14 06:08:52.410064, 0.011, 0.081, 0.995
2021-09-14 06:08:52.510349,-0.003, 0.073, 0.994
2021-09-14 06:08:52.610558, 0.005, 0.077, 0.999
2021-09-14 06:08:52.710786, 0.007, 0.081, 0.999
2021-09-14 06:08:52.811014, 0.007, 0.080, 0.997
2021-09-14 06:08:52.911219, 0.006, 0.081, 1.001
2021-09-14 06:08:53.011425, 0.006, 0.082, 0.995
2021-09-14 06:08:53.111610, 0.007, 0.082, 0.994
2021-09-14 06:08:53.211825, 0.004, 0.064, 0.995
2021-09-14 06:08:53.312000, 0.009, 0.079, 1.000
2021-09-14 06:08:53.412180, 0.002, 0.081, 0.999
2021-09-14 06:08:53.512356, 0.008, 0.078, 0.997
2021-09-14 06:08:53.612553, 0.005, 0.083, 1.006
2021-09-14 06:08:53.712764, 0.009, 0.080, 1.001
2021-09-14 06:08:53.812965, 0.007, 0.081, 0.999
2021-09-14 06:08:53.913144, 0.003, 0.079, 0.988
2021-09-14 06:08:54.013361, 0.009, 0.080, 1.001
2021-09-14 06:08:54.113545, 0.005, 0.080, 1.003
2021-09-14 06:08:54.213744, 0.006, 0.076, 1.000
2021-09-14 06:08:54.313971, 0.006, 0.080, 1.002
2021-09-14 06:08:54.414204, 0.006, 0.076, 0.999
2021-09-14 06:08:54.514431, 0.006, 0.082, 1.001
2021-09-14 06:08:54.614652, 0.008, 0.064, 0.997
2021-09-14 06:08:54.714879, 0.004, 0.083, 0.997
2021-09-14 06:08:54.815102, 0.004, 0.076, 1.010
2021-09-14 06:08:54.915386, 0.009, 0.083, 1.000
2021-09-14 06:08:55.015609, 0.004, 0.076, 0.984
2021-09-14 06:08:55.115834, 0.007, 0.081, 0.998
2021-09-14 06:08:55.216049, 0.008, 0.078, 0.993
2021-09-14 06:08:55.316165, 0.008, 0.079, 1.005
2021-09-14 06:08:55.416388, 0.012, 0.063, 0.999
2021-09-14 06:08:55.516607, 0.008, 0.075, 1.015
2021-09-14 06:08:55.616824, 0.007, 0.078, 0.999
2021-09-14 06:08:55.717063, 0.006, 0.080, 0.994
2021-09-14 06:08:55.817311, 0.007, 0.078, 0.990
2021-09-14 06:08:55.917503, 0.009, 0.082, 0.985
2021-09-14 06:08:56.017674, 0.004, 0.076, 0.998
2021-09-14 06:08:56.117818, 0.004, 0.078, 0.997
2021-09-14 06:08:56.217954, 0.004, 0.092, 0.999
2021-09-14 06:08:56.318101, 0.002, 0.081, 1.000
2021-09-14 06:08:56.418254, 0.010, 0.081, 0.999
2021-09-14 06:08:56.518426, 0.004, 0.081, 0.996
2021-09-14 06:08:56.618626, 0.005, 0.092, 1.001
2021-09-14 06:08:56.718823, 0.007, 0.075, 1.001
2021-09-14 06:08:56.819018, 0.003, 0.079, 0.996
2021-09-14 06:08:56.919208, 0.007, 0.080, 0.994
2021-09-14 06:08:57.019403, 0.006, 0.081, 0.993
2021-09-14 06:08:57.119618, 0.001, 0.064, 0.997
2021-09-14 06:08:57.219836, 0.009, 0.076, 0.992
2021-09-14 06:08:57.320040, 0.005, 0.077, 1.007
2021-09-14 06:08:57.420255, 0.010, 0.077, 1.004
2021-09-14 06:08:57.520465, 0.005, 0.081, 0.998
2021-09-14 06:08:57.620681, 0.006, 0.079, 1.005
2021-09-14 06:08:57.720923, 0.005, 0.076, 0.998
2021-09-14 06:08:57.821149, 0.009, 0.093, 1.002
2021-09-14 06:08:57.921364, 0.005, 0.081, 0.997
2021-09-14 06:08:58.021585, 0.009, 0.080, 1.013
2021-09-14 06:08:58.121798, 0.002, 0.081, 1.001
2021-09-14 06:08:58.222013, 0.005, 0.079, 0.998
2021-09-14 06:08:58.322255, 0.001, 0.081, 1.001
2021-09-14 06:08:58.422488, 0.007, 0.091, 1.001
2021-09-14 06:08:58.522704, 0.004, 0.078, 0.984
2021-09-14 06:08:58.622932, 0.007, 0.076, 1.000
2021-09-14 06:08:58.723170, 0.008, 0.084, 0.997
