date,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2022-02-09 20:17:11.858928,0.217881,-0.007338,0.973652,-4.525360,71.027550,7.575424,-0.064820,0.181049,-0.259280
2022-02-09 20:17:11.959096,0.134385,-0.020034,0.989033,-7.966217,68.708214,-8.019058,-0.058115,0.196695,-0.263751
2022-02-09 20:17:12.059282,0.017197,0.033189,0.999775,-16.686615,0.112328,0.670822,-0.050291,0.200048,-0.269338
2022-02-09 20:17:12.159468,0.000107,-0.059829,1.006855,-20.432648,0.005516,0.594528,-0.058115,0.201166,-0.272691
2022-02-09 20:17:12.259785,0.000107,-0.051040,1.015156,-4.113373,0.165733,0.152023,-0.061467,0.208989,-0.280514
2022-02-09 20:17:12.360037,0.001816,-0.078139,1.015888,5.301300,-0.162331,-0.252335,-0.061467,0.204518,-0.276044
2022-02-09 20:17:12.460352,0.004013,-0.079604,1.019551,1.334015,-0.032631,-0.221817,-0.052527,0.211224,-0.278279
2022-02-09 20:17:12.560606,0.004502,-0.075942,1.014424,0.288788,-0.047890,0.075729,-0.051409,0.203401,-0.265986
2022-02-09 20:17:12.660801,0.000107,-0.086440,1.013203,-0.146088,-0.025002,0.251205,-0.061467,0.213459,-0.273809
2022-02-09 20:17:12.761005,0.006699,-0.079604,1.012715,-0.268158,0.127586,0.106247,-0.051409,0.207871,-0.274926
2022-02-09 20:17:12.861208,0.005967,-0.083022,1.014668,0.082794,-0.025002,0.037582,-0.063702,0.200048,-0.269338
2022-02-09 20:17:12.961403,0.002549,-0.081557,1.015888,0.014130,0.036034,0.007065,-0.052527,0.206754,-0.267103
2022-02-09 20:17:13.061584,0.000107,-0.082778,1.021260,0.120941,-0.017372,0.083359,-0.060350,0.201166,-0.272691
2022-02-09 20:17:13.161762,0.001328,-0.081313,1.015888,0.098053,-0.017372,-0.046341,-0.060350,0.205636,-0.279397
2022-02-09 20:17:13.261938,-0.000869,-0.085219,0.995381,-0.107941,-0.055519,0.228317,-0.063702,0.197813,-0.264868
2022-02-09 20:17:13.362107,0.000840,-0.080092,1.023701,0.037018,-0.192848,0.182541,-0.062585,0.210106,-0.265986
2022-02-09 20:17:13.462314,0.001084,-0.081557,1.012226,-0.024017,0.211510,0.037582,-0.059232,0.208989,-0.276044
2022-02-09 20:17:13.562518,0.000595,-0.076918,1.015644,0.120941,0.180992,-0.008194,-0.064820,0.198931,-0.274926
2022-02-09 20:17:13.662697,0.000351,-0.082045,1.011494,0.090424,0.036034,-0.084488,-0.059232,0.204518,-0.276044
2022-02-09 20:17:13.762866,0.003281,-0.081557,1.008076,-0.069794,0.127586,0.228317,-0.060350,0.203401,-0.274926
2022-02-09 20:17:13.863044,0.005234,-0.080825,1.002705,-0.016388,0.013145,-0.023453,-0.055879,0.207871,-0.272691
2022-02-09 20:17:13.963214,0.001084,-0.079848,1.024433,-0.008759,0.211510,0.007065,-0.055879,0.207871,-0.279397
2022-02-09 20:17:14.063424,0.002549,-0.080825,1.010761,0.159088,-0.055519,-0.069229,-0.056997,0.202283,-0.264868
2022-02-09 20:17:14.163604,-0.002090,-0.079848,1.014668,-0.092682,-0.124184,0.304611,-0.050291,0.206754,-0.264868
2022-02-09 20:17:14.263788,0.002793,-0.087417,1.011006,-3.235992,0.066551,0.319870,-0.046939,0.207871,-0.270456
2022-02-09 20:17:14.363956,-0.001358,-0.073500,1.015644,1.585785,-0.047890,0.098618,-0.056997,0.215694,-0.273809
2022-02-09 20:17:14.464169,0.000107,-0.080825,1.014179,0.807587,-0.009743,0.022324,-0.049174,0.210106,-0.279397
2022-02-09 20:17:14.564331,0.003037,-0.086440,1.013935,0.723663,0.020775,0.037582,-0.060350,0.201166,-0.272691
2022-02-09 20:17:14.664517,-0.003799,-0.078872,1.015400,0.006500,-0.093666,0.060471,-0.060350,0.203401,-0.268221
2022-02-09 20:17:14.764687,0.002549,-0.077895,1.013691,-1.572784,0.081810,0.083359,-0.052527,0.211224,-0.280514
2022-02-09 20:17:14.864869,0.001328,-0.088881,1.009541,-0.596222,0.280174,0.113876,-0.063702,0.204518,-0.267103
2022-02-09 20:17:14.965030,0.002793,-0.086684,1.012470,1.356903,0.058922,-0.153152,-0.061467,0.202283,-0.269338
2022-02-09 20:17:15.065172,0.000107,-0.077407,0.998310,1.272980,-0.017372,-0.130264,-0.051409,0.201166,-0.272691
2022-02-09 20:17:15.165342,0.002304,-0.079604,1.009785,0.754181,-0.131813,-0.015823,-0.055879,0.212342,-0.270456
